"brand","screen_tech","screensize","energy_consumpt","star2","count"
"aiwa","LCD","24.0",91,4.5,1
"aiwa","LCD (LED)","24.0",93.5,4.5,2
"aiwa","LCD (LED)","31.0",124.5,5.25,2
"aiwa","LCD (LED)","32.0",120.5,5.25,2
"aiwa","LCD","39.0",189,5,1
"aiwa","LCD (LED)","39.0",148,6,1
"aiwa","LCD (LED)","40.0",198,4.5,1
"aiwa","LCD (LED)","42.0",210,4.5,1
"aiwa","LCD (LED)","49.0",265,5,1
"aiwa","LCD (LED)","50.0",211,6,1
"aiwa","OLED","50.0",276,5,1
"aiwa","LCD","55.0",320,5,1
"aiwa","LCD","64.0",404,5.5,1
"aiwa","LCD (LED)","64.0",499,4.5,1
"aiwa","LCD (LED)","65.0",468,4.5,1
"aiwa","LCD (LED)","70.0",576,4.5,1
"akai","LCD (LED)","24.0",64,6,6
"akai","LCD","31.0",104,6,1
"akai","LCD","32.0",90,6,1
"akai","LCD (LED)","32.0",99.5,6,2
"akai","LCD","39.0",143.33333333333334,6,3
"akai","LCD","43.0",172,6,1
"akai","LCD","49.0",225,6,1
"akai","LCD","50.0",204,6,1
"akai","LCD (LED)","50.0",202,6,1
"akai","LCD","55.0",272,6,1
"akai","LCD (LED)","55.0",258,6,3
"akai","LCD (LED)","58.0",301,6,1
"akai","LCD","65.0",369,6,2
"akai","LCD (LED)","65.0",364.5,6,2
"akai","LCD","70.0",372,6,1
"akai","LCD","74.0",480,6,1
"akai","LCD (LED)","75.0",439,6,2
"akai","LCD","85.0",600,6,1
"altius","LCD","24.0",66,6,1
"altius","LCD","32.0",90,6,1
"altius","LCD (LED)","32.0",102,6,1
"aoa","LCD (LED)","19.0",58,5,1
"aoa","LCD","32.0",119,5,1
"aoa","LCD","40.0",176,5,1
"aoa","LCD (LED)","50.0",270,5,1
"avel innovations","LCD (LED)","24.0",90.5,4.5,2
"avel innovations","LCD (LED)","32.0",145,4.5,1
"bauhn","LCD","24.0",67,6,2
"bauhn","LCD (LED)","24.0",65,6,3
"bauhn","LCD","31.0",104,6,1
"bauhn","LCD (LED)","31.0",104,6,3
"bauhn","LCD","32.0",101,6,1
"bauhn","LCD (LED)","32.0",101.33333333333333,6,6
"bauhn","LCD","39.0",151,6,3
"bauhn","LCD (LED)","39.0",148.4,6,5
"bauhn","LCD (LED)","40.0",189,5,3
"bauhn","LCD","41.0",157,6,1
"bauhn","LCD","43.0",172,6,3
"bauhn","LCD (LED)","43.0",170,6,2
"bauhn","LCD","49.0",223.33333333333334,6,3
"bauhn","LCD (LED)","49.0",220,6,1
"bauhn","LCD","50.0",220,6,1
"bauhn","LCD (LED)","50.0",217.5,6,2
"bauhn","LCD","55.0",288.5,5.75,2
"bauhn","LCD (LED)","55.0",261.4,6,5
"bauhn","LCD","57.0",290.3333333333333,6,3
"bauhn","LCD","58.0",298,6,1
"bauhn","LCD (LED)","58.0",301,6,1
"bauhn","LCD","60.0",302.75,6,4
"bauhn","LCD","65.0",361.75,6,4
"bauhn","LCD (LED)","65.0",361.75,6,4
"bauhn","LCD","70.0",403,6,9
"bauhn","LCD (LED)","70.0",400,6,2
"bauhn","LCD","74.0",480,6,1
"bauhn","LCD","75.0",490,6,1
"bauhn","LCD (LED)","75.0",445.3333333333333,6,3
"bauhn","LCD (LED)","82.0",651,5.5,1
"bauhn","LCD","85.0",600,6,2
"blaupunkt","LCD","24.0",90.75,4.625,4
"blaupunkt","LCD (LED)","24.0",82.57142857142857,5.142857142857142,7
"blaupunkt","LCD","31.0",130,5,2
"blaupunkt","LCD","32.0",118,5.5,1
"blaupunkt","LCD (LED)","32.0",128.5,4.875,4
"blaupunkt","LCD","40.0",186,5,3
"blaupunkt","LCD (LED)","40.0",176,5,1
"blaupunkt","LCD (LED)","41.0",230,4.5,1
"blaupunkt","LCD","42.0",199,5,1
"blaupunkt","LCD (LED)","42.0",224,4.5,2
"blaupunkt","LCD (LED)","43.0",212,5,1
"blaupunkt","LCD (LED)","49.0",301.5,4.5,2
"blaupunkt","LCD (LED)","50.0",327.5,4.125,4
"blaupunkt","LCD","55.0",383.25,4.25,4
"blaupunkt","LCD (LED)","55.0",331,5,2
"blaupunkt","LCD (LED)","57.0",411.3333333333333,4.666666666666667,3
"blaupunkt","LCD (LED)","58.0",387.5,4.75,2
"blaupunkt","LCD (LED)","60.0",405,5,1
"blaupunkt","LCD","65.0",467,4.5,1
"blaupunkt","LCD (LED)","65.0",437,5.1,5
"blaupunkt","LCD (LED)","69.0",640,4,1
"blaupunkt","LCD","70.0",561,4.5,1
"blaupunkt","LCD (LED)","70.0",620,4,2
"blaupunkt","LCD (LED)","74.0",485,6,1
"blaupunkt","LCD","75.0",751.5,3.75,2
"blaupunkt","LCD (LED)","75.0",700.4,4.3,5
"blaupunkt","LCD","85.0",861.5,4.25,2
"blaupunkt","LCD (LED)","85.0",722,5,1
"blaupunkt","LCD (LED)","86.0",988,4,1
"blaupunkt","LCD (LED)","98.0",1284,4,1
"brooklyn","LCD (LED)","32.0",125,5,1
"caixun","LCD (LED)","24.0",68.76923076923076,5.8076923076923075,13
"caixun","LCD","32.0",98,6,4
"caixun","LCD (LED)","32.0",110.75000000000001,5.458333333333334,12
"caixun","LCD (LED)","38.0",138,6,6
"caixun","LCD","39.0",155,5.5,4
"caixun","LCD (LED)","40.0",151,6,6
"caixun","LCD (LED)","41.0",159,6,6
"caixun","LCD (LED)","42.0",162,6,6
"caixun","LCD","43.0",220,4.5,4
"caixun","LCD (LED)","43.0",196,5,9
"caixun","LCD (LED)","50.0",278,5,7
"caixun","LCD (LED)","55.0",307,5,7
"chiq","LCD","24.0",82,5,1
"chiq","LCD (LED)","24.0",80,5,2
"chiq","LCD (LED)","31.0",117.8,5.4,5
"chiq","LCD (LED)","32.0",133,4.75,2
"chiq","LCD (LED)","39.0",186.2,5,5
"chiq","LCD (LED)","42.0",231.33333333333334,4.666666666666667,3
"chiq","LCD (LED)","49.0",268.6666666666667,5,3
"chiq","LCD (LED)","55.0",358.25,4.5,4
"chiq","LCD (LED)","57.0",380,4.75,2
"chiq","LCD (LED)","64.0",500.2,4.6,5
"chiq","LCD (LED)","65.0",572,4,1
"chiq","LCD (LED)","70.0",481,5.5,1
"chiq","LCD","75.0",608,5,1
"chiq","LCD (LED)","75.0",519,5.5,2
"chiq","LCD (LED)","85.0",974,4,1
